name,capacity,address,start_up_date,region,district,operator_name,ICO,operator_address,operator license,operator_region,operator_district,cadastre_area,cadastre_code,cadastre_municipal,cadastre_demarcation
,,,,,,,,,,,,Hradčovice,646725,Hradčovice,st. 487
,,,,,,,,,,,,Samotíšky,746037,Samotišky,par. č. 94/13
,,,,,,,,,,,,Pokratice,685569,Litoměřice,parc.č. 236/1
,,,,,,,,,,,,Kovářov,671380,Kovářov,St. 175
,,,,,,,,,,,,Hořice v Podkrkonoší,645168,Hořice,St. 1048
,,,,,,,,,,,,Větřkovice u Vítkova,781151,Větřkovice u Vítkova,1256/14
,,,,,,,,,,,,Poděbrady,723495,Poděbrady,St. 2114/10
,,,,,,,,,,,,Újezd,722685,Plzeň,799/2
,,,,,,,,,,,,Protivín,733857,Protivín,parc.č. 1545/13
,,,,,,,,,,,,Vrchlabí,786306,Vrchlabí,st. 1474
,,,,,,,,,,,,Chýnov u Tábora,655473,Chýnov,St. 1070/1
,,,,,,,,,,,,Tuchlovice,771317,Tuchlovice,2029/2; 2030/1; 2031; 2032/1
,,,,,,,,,,,,Polešovice,725251,Polešovice,St. 890
,,,,,,,,,,,,Štramberk,764116,Štramberk,764
,,,,,,,,,,,,Pustiměř,736911,Pustiměř,1821/11
,,,,,,,,,,,,České Budějovice 3,622052,České Budějovice,par. č. 1176/17
,,,,,,,,,,,,Všenice,616371,Všenice,st.p.č. 188
,,,,,,,,,,,,Znojmo-město,793418,Znojmo,2917
,,,,,,,,,,,,Újezd nad Lesy,773778,Praha,4268/384
,,,,,,,,,,,,Skočice u Přeštic,748323,Přeštice,St. 141
,,,,,,,,,,,,Tuněchody u Stříbra,612677,Kladruby,St. 18/2
,,,,,,,,,,,,Nová Ves u Třebíče,705683,Nová Ves,St. 23/1
,,,,,,,,,,,,Vrbice u Velkých Pavlovic,785962,Vrbice,St. 468
,,,,,,,,,,,,Branice,609307,Branice,par.č.st. 93
,,,,,,,,,,,,Žatec,794732,Žatec,par. č. st. 1722/2
,,,,,,,,,,,,Chodská Lhota,652253,Chodská Lhota,St. 227/2
,,,,,,,,,,,,Třeboň,770230,Třeboň,parc.č. 394/5
,,,,,,,,,,,,Janské Lázně,657239,Janské Lázně,St. 118
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Semily,747246,Semily,p.č. 661
,,,,,,,,,,,,Klášter Hradiště nad Jizerou,665517,Klášter Hradiště nad Jizerou,St. 25
,,,,,,,,,,,,Dobřichovice,627810,Dobřichovice,1372/33
,,,,,,,,,,,,Všemina,787167,Všemina,St. 441
,,,,,,,,,,,,Řečkovice,611646,Brno,"par. č. 3876/7, 3876/9"
,,,,,,,,,,,,Vehlovice,692999,Mělník,parc. č. 279
,,,,,,,,,,,,Dubice u České Lípy,621528,Česká Lípa,275/8
,,,,,,,,,,,,Bělá u Pecky,601829,Pecka,St. 12
,,,,,,,,,,,,Mikulov na Moravě,694193,Mikulov,par.č. 754
,,,,,,,,,,,,Lyžbice,771104,Třinec,1478/2
,,,,,,,,,,,,Němčice nad Hanou,703044,Chrudim,St. 787
,,,,,,,,,,,,Babylon,600717,Babylon,"St. 123/1, 2, 3"
,,,,,,,,,,,,Protivanov,733822,Protivanov,St. 238
,,,,,,,,,,,,Kostelec na Hané,670154,Kostelec na Hané,parc. č. 244
,,,,,,,,,,,,Neznášov,742911,Rožnov,St. 2/1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Minkovice,762504,Šimonovice,St. 313
,,,,,,,,,,,,Radostov,738450,Radostov,St. 70
,,,,,,,,,,,,Trhová Kamenice,768120,Trhová Kamenice,par. č. st. 89
,,,,,,,,,,,,Poříčí nad Sázavou,726036,Poříčí nad Sázavou,p.č. 1158
,,,,,,,,,,,,Velké Meziříčí,779091,Velké Meziříčí,par. č. 2724
,,,,,,,,,,,,Hostivice,645834,Hostivice,p.č. 187/2
,,,,,,,,,,,,Stehelčeves,755443,Stehelčeves,par.č. 576/19
,,,,,,,,,,,,Bratronice,789291,Bratronice,č. p. 36
,,,,,,,,,,,,Božtěšice,608955,Ústí nad Labem,581/36
,,,,,,,,,,,,Lichnov u Bruntálu,683752,Lichnov,1715/3
,,,,,,,,,,,,Poděbrady,723495,Poděbrady,St. 1327
,,,,,,,,,,,,Červený Hrádek u Plzně,621081,Plzeň,271/104
,,,,,,,,,,,,Strašnice,731943,Praha,3422/4; 3422/11
,,,,,,,,,,,,Bludovice,637696,,p.č. 2708/5
,,,,,,,,,,,,Zavlekov,791334,Zavlekov,St. 345
,,,,,,,,,,,,Žamberk,794368,Žamberk,"p.č. 2377/2, 2378/2, 2378/3"
,,,,,,,,,,,,Žabovřesky,610470,Brno,3475
,,,,,,,,,,,,Rokytnice u Vsetína,786951,Vsetín,St. 689
,,,,,,,,,,,,České Budějovice 6,622346,České Budějovice,2857/3
,,,,,,,,,,,,Jarošov u Uherského Hradiště,657565,Uherské Hradiště,p.č. 1036/2
,,,,,,,,,,,,Horní Měcholupy,732583,Praha,p.č. 601/2
